bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
BV Nettorama Verbruikersmarkten;2155;5.16605;52.2745;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00157805;LT
Deen Winkels BV;2156;5.16881;52.2666;1999;1999;0.113370123;0.7;0.3;30;50;250;0;3.25994758;LT
Supermarkt Holts BV;2157;5.14913;52.2846;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0.244698661;LT
VOMAR Voordeelmarkt BV;2158;5.16439;52.2779;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00000178;LT
Albert Heijn BV;2222;4.65506;52.3597;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;2223;4.63576;52.3845;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00935462;LT
Albert Heijn BV;2224;4.63092;52.3764;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.36480109;LT
Albert Heijn BV;2225;4.64514;52.3984;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.924573887;LT
Aldi;2226;4.61755;52.3779;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;2227;4.65007;52.409;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00853918;LT
Deka Supermarkten BV;2228;4.63795;52.4083;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00140364;LT
Deka Supermarkten BV;2229;4.64729;52.3796;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00277394;LT
Deka Supermarkten BV;2230;4.60422;52.3833;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00462411;LT
Deka Supermarkten BV;2231;4.66124;52.3781;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00054597;LT
Deka Supermarkten BV;2232;4.64566;52.4016;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.924573887;LT
Deka Supermarkten BV;2233;4.65538;52.3594;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;2234;4.6423;52.3717;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00055872;LT
Deka Supermarkten BV;2235;4.65268;52.4159;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00129973;LT
Deka Supermarkten BV;2236;4.63223;52.3806;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.36480109;LT
Deka Supermarkten BV;2237;4.6225;52.3804;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;2238;4.6293;52.3938;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00243305;LT
Jumbo Haarlem;2239;4.65384;52.3519;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00827542;LT
Koog Supermarkten BV;2240;4.61748;52.3778;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
LIDL Nederland GmbH;2241;4.6574;52.3641;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Plus3;2242;4.64856;52.4171;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00028727;LT
Stationsfoodstore BV;2243;4.63968;52.3884;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01408018;LT
Supermarkt Van der Wijden BV;2244;4.63167;52.4004;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00243305;LT
VOF Bouwens Ravestein Supermarkten   Slijterijen;2245;4.6469;52.417;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00028727;LT
VOMAR Voordeelmarkt BV;2246;4.64817;52.3647;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.04952394;LT
VOMAR Voordeelmarkt BV;2247;4.64904;52.391;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.03469774;LT
VOMAR Voordeelmarkt BV;2248;4.61389;52.3693;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
VOMAR Voordeelmarkt BV;2249;4.66371;52.3553;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.842806459;LT
VOMAR Voordeelmarkt BV;2250;4.63844;52.3732;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00055872;LT
Albert Heijn;2251;4.61977;52.2707;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00132644;LT
Albert Heijn BV;2252;4.69402;52.3016;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.0559196;LT
Albert Heijn BV;2253;4.77873;52.3382;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.943763767;LT
Albert Heijn BV;2254;4.66418;52.3018;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.09069115;LT
Albert Heijn BV;2255;4.63862;52.307;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00021883;LT
Albert Heijn BV;2256;4.76304;52.3105;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.02811558;LT
Bun Supermarkten BV;2257;4.65952;52.3147;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00261798;LT
Coop Supermarkten BV;2258;4.63948;52.3064;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00021883;LT
Deen Winkels BV;2259;4.65872;52.3148;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00261798;LT
Detailconsult Supermarkten BV;2260;4.63176;52.2643;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.27781744;LT
Food Village  Schiphol  BV;2261;4.76304;52.3105;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.02811558;LT
Food Village  Schiphol  BV;2262;4.69919;52.2664;1999;1999;0.242936049;0.7;0.3;30;50;250;0;2.82236628;LT
Gebr  Verburg I  BV;2263;4.7502;52.3789;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.23551397;LT
Hofman Supermarkten BV;2264;4.67096;52.309;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00633021;LT
Hoogvliet BV;2265;4.61931;52.2626;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.07054327;LT
Hoogvliet BV;2266;4.67653;52.3504;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00266771;LT
LIDL Nederland GmbH;2267;4.77903;52.3388;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0.943763767;LT
LIDL Nederland GmbH;2268;4.62044;52.2711;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00132644;LT
Super J  Dekker Rijsenhout BV;2269;4.71502;52.2586;1999;1999;0.113370123;0.7;0.3;30;50;250;0;2.82236628;LT
VOF Bouwens Ravestein Supermarkten   Slijterijen;2270;4.68532;52.4114;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.0543062708;LT
VOF Van Vliet;2271;4.63253;52.2645;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.27781744;LT
VOMAR Voordeelmarkt BV;2272;4.67756;52.3031;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00187911;LT
VOMAR Voordeelmarkt BV;2273;4.77766;52.3365;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01379397;LT
World of Delights Schiphol BV;2274;4.76411;52.3104;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.02811558;LT
Albert Heijn BV;2307;4.6671;52.5109;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00268668;LT
Albert Heijn BV;2308;4.65596;52.5047;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00404335;LT
Deen Winkels BV;2309;4.67804;52.4945;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00493283;LT
Deen Winkels BV;2310;4.67108;52.5098;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.12537865;LT
Deka Supermarkten BV;2311;4.66908;52.5106;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00268668;LT
LIDL Nederland GmbH;2312;4.68578;52.4949;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00022071;LT
Supermarkt Roemer BV;2313;4.67676;52.5128;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00059471;LT
VOMAR Voordeelmarkt BV;2314;4.69234;52.4925;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00022071;LT
VOMAR Voordeelmarkt BV;2315;4.65513;52.5077;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00404335;LT
Albert Heijn BV;2316;4.62023;52.3562;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;2317;4.60436;52.3596;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;2318;4.62157;52.3505;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Van der Hulst Supermarkt BV;2319;4.6285;52.3601;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00625439;LT
VOMAR Voordeelmarkt BV;2320;4.62066;52.3552;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;2431;5.15571;52.2145;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.04397179;LT
Albert Heijn BV;2432;5.17562;52.222;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.82660547;LT
Albert Heijn BV;2433;5.14075;52.2161;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00189411;LT
Albert Heijn BV;2434;5.16792;52.2155;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0891999;LT
Albert Heijn BV;2435;5.19209;52.2324;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0204039;LT
Albert Heijn Hilversumse Meent BV;2436;5.13773;52.2708;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01347712;LT
C  van Dam Hilversum BV;2437;5.18845;52.2329;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0204039;LT
Florijn Supermarkt;2438;5.17605;52.238;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.03170227;LT
Hoogvliet BV;2439;5.19209;52.2324;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0204039;LT
Hoogvliet BV;2440;5.15652;52.2106;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00636098;LT
Hoogvliet BV;2441;5.17847;52.2263;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.05252562;LT
Plus Hilversum;2442;5.19483;52.2187;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.538524684;LT
Stationsfoodstore BV;2443;5.18129;52.2266;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.05252562;LT
Vaartjes  Supermarkt Tarthorst BV;2444;5.19919;52.2115;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.01790141;LT
Vers Supermarkt Jan Jongerius BV;2445;5.16009;52.2102;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00636098;LT
Albert Heijn BV;2501;5.23497;52.2972;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.799358615;LT
Albert Heijn BV;2502;5.26297;52.2945;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00152267;LT
Boni Markten BV;2503;5.25416;52.3025;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00380836;LT
Coop Supermarkten BV;2504;5.2454;52.2903;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00057354;LT
Jumbo Supermarkten BV;2505;5.25441;52.2919;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00057354;LT
LIDL Nederland GmbH;2506;5.23859;52.3046;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.24499107;LT
Deen Winkels BV;2552;4.91344;52.4297;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00472313;LT
Plemp Super BV;2553;4.91464;52.4289;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00472313;LT
Supermarkt Klaverweide BV;2898;4.87836;52.4373;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.09028307;LT
Plus Retail BV;2926;4.90175;52.2971;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00102288;LT
Supermarkt Sluisplein BV;2927;4.91456;52.2972;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00102288;LT
VOF Wagner;2928;4.93969;52.3327;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.910823324;LT
Albert Heijn BV;2952;4.95926;52.51;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.308340893;LT
Deen Winkels BV;2953;4.96925;52.5089;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.09249642;LT
Deen Winkels BV;2954;4.9528;52.5105;1999;1999;1.13370154;0.7;0.3;30;50;250;0;1.01936535;LT
Deen Winkels BV;2955;4.96955;52.4942;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0013506;LT
Deen Winkels BV;2956;4.93861;52.4968;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01306836;LT
LIDL Nederland GmbH;2957;4.9556;52.5089;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.01936535;LT
Ligthart Supermarkt VOF;2958;4.96129;52.5201;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01559353;LT
Plus;2959;4.95293;52.4945;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.360408222;LT
VOMAR Voordeelmarkt BV;2960;4.96005;52.5128;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.223159739;LT
VOMAR Voordeelmarkt BV;2961;4.96909;52.4937;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0013506;LT
Albert Heijn BV;3299;4.82677;52.2462;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00074153;LT
Aldi;3300;4.81561;52.2423;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01184823;LT
Coop Supermarkten BV;3301;4.8305;52.2329;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.175055299;LT
J G  Reurings Uithoorn BV;3302;4.82785;52.2465;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00074153;LT
Supermarkt Jos van den Berg BV;3303;4.82876;52.2325;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.175055299;LT
Albert Heijn BV;3399;4.62318;52.4609;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;3400;4.60199;52.456;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;3401;4.61526;52.4587;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;3402;4.59474;52.4491;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0081513;LT
Deka Supermarkten BV;3403;4.64543;52.472;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00490413;LT
Deka Supermarkten BV;3404;4.62992;52.4177;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00149359;LT
Deka Supermarkten BV;3405;4.65995;52.434;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;3406;4.64471;52.4333;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00227883;LT
VOMAR Voordeelmarkt BV;3407;4.60647;52.4601;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
VOMAR Voordeelmarkt BV;3408;4.65919;52.4346;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Deen Winkels BV;3495;5.03648;52.4501;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Deen Winkels BV;3496;5.04037;52.4549;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;3507;5.04021;52.3062;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;3508;5.034;52.3106;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Deen Winkels BV;3509;5.03274;52.3104;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
AH Landwaart Kortenhoef BV;3560;5.11271;52.2401;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.155338766;LT
Albert Heijn BV;3561;5.04494;52.2642;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.22578274;LT
Boni Markten BV;3562;5.14333;52.1958;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.97300659;LT
Golff Van Kommer Hilversum BV;3563;5.14044;52.1979;1999;1999;0.048587222;0.7;0.3;30;50;250;0;2.37945303;LT
Jumbo Supermarkten BV;3564;5.11456;52.2398;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.02103518;LT
Supermarkt gebroeders Van de Bunt BV;3565;5.13879;52.2;1999;1999;0.113370123;0.7;0.3;30;50;250;0;2.37945303;LT
Deka Supermarkten BV;3590;4.80949;52.4904;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
VOMAR Voordeelmarkt BV;3591;4.81042;52.499;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;3595;4.75919;52.5031;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;3596;4.85143;52.4352;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.32270403;LT
Albert Heijn BV;3597;4.83692;52.4441;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.02912545;LT
Albert Heijn BV;3598;4.81739;52.4381;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.45896242;LT
Albert Heijn BV;3599;4.75224;52.4887;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.31575009;LT
Albert Heijn BV;3600;4.80256;52.4484;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.05484616;LT
Coop Supermarkten BV;3601;4.7639;52.5012;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Coop Supermarkten BV;3602;4.77234;52.4641;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00777959;LT
Coop Supermarkten BV;3603;4.75328;52.5034;1999;1999;0.048587222;0.7;0.3;30;50;250;0;2.47784771;LT
Coop Supermarkten BV;3604;4.74048;52.4673;1999;1999;0.113370123;0.7;0.3;30;50;250;0;4.24623988;LT
Coop Supermarkten BV;3605;4.80035;52.4574;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.02835852;LT
Coop Supermarkten BV;3606;4.78659;52.4948;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.32515392;LT
Deen Winkels BV;3607;4.74766;52.4742;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.14571539;LT
Deen Winkels BV;3608;4.81248;52.4387;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.45896242;LT
Deka Supermarkten BV;3609;4.78068;52.4374;1999;1999;0.113370123;0.7;0.3;30;50;250;0;20.9080127;LT
Deka Supermarkten BV;3610;4.80035;52.4574;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.02835852;LT
Deka Supermarkten BV;3611;4.83558;52.4679;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00011939;LT
Deka Supermarkten BV;3612;4.83046;52.4392;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00455912;LT
Deka Supermarkten BV;3613;4.81195;52.4542;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;3614;4.80739;52.4854;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;3615;4.76743;52.5006;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;3616;4.821;52.4594;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;3617;4.82241;52.4481;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00073705;LT
LIDL Nederland GmbH;3618;4.7407;52.4662;1999;1999;0.048587222;0.7;0.3;30;50;250;0;4.24623988;LT
VOMAR Voordeelmarkt BV;3619;4.75224;52.4887;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.31575009;LT
VOMAR Voordeelmarkt BV;3620;4.82299;52.4385;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.192412845;LT
VOMAR Voordeelmarkt BV;3621;4.85044;52.4392;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.32270403;LT
Albert Heijn BV;3624;4.53104;52.3718;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00236583;LT
Deka Supermarkten BV;3625;4.52982;52.3711;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00236583;LT
Onbekend slachthuis 38;3723;4.82722;52.4171;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 39;3724;4.80731;52.3646;1999;1999;3;0.7;0.3;30;50;250;0;0.570600079;LT
Onbekend slachthuis 40;3725;4.80161;52.408;1999;1999;3;0.7;0.3;30;50;250;0;0.234780132;LT
Onbekend slachthuis 41;3726;4.83235;52.3729;1999;1999;3;0.7;0.3;30;50;250;0;1.07776458;LT
Onbekend slachthuis 42;3727;4.77244;52.3526;1999;1999;3;0.7;0.3;30;50;250;0;0.400663145;LT
Onbekend slachthuis 43;3728;4.79229;52.3928;1999;1999;3;0.7;0.3;30;50;250;0;0.183708184;LT
Onbekend slachthuis 44;3729;4.86748;52.3763;1999;1999;3;0.7;0.3;30;50;250;0;0.225112211;LT
Onbekend slachthuis 45;3730;4.78308;52.391;1999;1999;3;0.7;0.3;30;50;250;0;0.0975055263;LT
Onbekend slachthuis 46;3731;4.86748;52.3763;1999;1999;3;0.7;0.3;30;50;250;0;0.225112211;LT
Onbekend slachthuis 47;3732;4.79229;52.3928;1999;1999;3;0.7;0.3;30;50;250;0;0.183708184;LT
Onbekend slachthuis 48;3733;4.8308;52.359;1999;1999;3;0.7;0.3;30;50;250;0;0.213133474;LT
Onbekend slachthuis 49;3734;4.82056;52.3836;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 50;3735;4.77244;52.3526;1999;1999;3;0.7;0.3;30;50;250;0;0.400663145;LT
Onbekend slachthuis 51;3736;4.80191;52.3583;1999;1999;3;0.7;0.3;30;50;250;0;1.00025375;LT
Onbekend slachthuis 52;3737;4.87741;52.3845;1999;1999;3;0.7;0.3;30;50;250;0;0.107980855;LT
Onbekend slachthuis 53;3738;4.82159;52.3554;1999;1999;3;0.7;0.3;30;50;250;0;1.41079775;LT
Onbekend slachthuis 54;3739;4.84046;52.3764;1999;1999;3;0.7;0.3;30;50;250;0;0.406356289;LT
Onbekend slachthuis 55;3740;4.80161;52.408;1999;1999;3;0.7;0.3;30;50;250;0;0.234780132;LT
Onbekend slachthuis 56;3741;4.92909;52.3866;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 57;3742;4.86748;52.3763;1999;1999;3;0.7;0.3;30;50;250;0;0.225112211;LT
Onbekend slachthuis 58;3743;4.87741;52.3845;1999;1999;3;0.7;0.3;30;50;250;0;0.107980855;LT
Onbekend slachthuis 101;3787;4.67228;52.4764;1999;1999;3;0.7;0.3;30;50;250;0;0.0776283158;LT
Onbekend slachthuis 102;3788;4.67044;52.4657;1999;1999;3;0.7;0.3;30;50;250;0;0.0136079211;LT
Onbekend slachthuis 106;3792;5.26408;52.2834;1999;1999;3;0.7;0.3;30;50;250;0;0.429584383;LT
Onbekend slachthuis 188;3874;5.06535;52.5153;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 189;3875;5.0804;52.5071;1999;1999;3;0.7;0.3;30;50;250;0;0.419807855;LT
Onbekend slachthuis 190;3876;5.08077;52.5069;1999;1999;3;0.7;0.3;30;50;250;0;0.419807855;LT
Onbekend slachthuis 191;3877;5.08347;52.5043;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 192;3878;5.08113;52.506;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 193;3879;5.03777;52.5158;1999;1999;3;0.7;0.3;30;50;250;0;0.00261189474;LT
Onbekend slachthuis 194;3880;5.03914;52.5156;1999;1999;3;0.7;0.3;30;50;250;0;0.00261189474;LT
Onbekend slachthuis 245;3931;5.14583;52.2807;1999;1999;3;0.7;0.3;30;50;250;0;0.0762286842;LT
Onbekend slachthuis 246;3932;5.14917;52.2849;1999;1999;3;0.7;0.3;30;50;250;0;0.244698661;LT
Onbekend slachthuis 247;3933;5.16325;52.2948;1999;1999;3;0.7;0.3;30;50;250;0;0.775572036;LT
Onbekend slachthuis 258;3944;4.74918;52.361;1999;1999;3;0.7;0.3;30;50;250;0;0.0151568684;LT
Onbekend slachthuis 259;3945;4.69029;52.2936;1999;1999;3;0.7;0.3;30;50;250;0;0.237655229;LT
Onbekend slachthuis 260;3946;4.68678;52.2412;1999;1999;3;0.7;0.3;30;50;250;0;0.147068947;LT
Onbekend slachthuis 261;3947;4.75025;52.378;1999;1999;3;0.7;0.3;30;50;250;0;0.23551397;LT
Onbekend slachthuis 272;3958;4.60844;52.3289;1999;1999;3;0.7;0.3;30;50;250;0;0.63859284;LT
Onbekend slachthuis 303;3989;5.24475;52.3061;1999;1999;3;0.7;0.3;30;50;250;0;0.152949438;LT
Onbekend slachthuis 304;3990;5.23163;52.3002;1999;1999;3;0.7;0.3;30;50;250;0;0.799358615;LT
Onbekend slachthuis 320;4006;4.92771;52.4844;1999;1999;3;0.7;0.3;30;50;250;0;0.0427949211;LT
Onbekend slachthuis 321;4007;4.9061;52.4559;1999;1999;3;0.7;0.3;30;50;250;0;0.0704335263;LT
Onbekend slachthuis 447;4133;4.98802;52.5024;1999;1999;3;0.7;0.3;30;50;250;0;0.230749934;LT
Onbekend slachthuis 448;4134;4.98614;52.5191;1999;1999;3;0.7;0.3;30;50;250;0;0.9269154;LT
Onbekend slachthuis 449;4135;4.96089;52.5117;1999;1999;3;0.7;0.3;30;50;250;0;0.223159739;LT
Onbekend slachthuis 450;4136;4.99726;52.522;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 451;4137;4.94437;52.4915;1999;1999;3;0.7;0.3;30;50;250;0;0.0559867632;LT
Onbekend slachthuis 452;4138;4.98235;52.5041;1999;1999;3;0.7;0.3;30;50;250;0;0.230749934;LT
Onbekend slachthuis 651;4337;4.58979;52.4611;1999;1999;3;0.7;0.3;30;50;250;0;0.571603863;LT
Onbekend slachthuis 652;4338;4.66046;52.4673;1999;1999;3;0.7;0.3;30;50;250;0;0.00858369474;LT
Onbekend slachthuis 653;4339;4.57975;52.4583;1999;1999;3;0.7;0.3;30;50;250;0;0.100257303;LT
Onbekend slachthuis 654;4340;4.58094;52.4566;1999;1999;3;0.7;0.3;30;50;250;0;0.00803835526;LT
Onbekend slachthuis 655;4341;4.58094;52.4566;1999;1999;3;0.7;0.3;30;50;250;0;0.00803835526;LT
Onbekend slachthuis 656;4342;4.66057;52.4292;1999;1999;3;0.7;0.3;30;50;250;0;0;LT
Onbekend slachthuis 657;4343;4.5789;52.4575;1999;1999;3;0.7;0.3;30;50;250;0;0.100257303;LT
Onbekend slachthuis 680;4366;5.03052;52.453;1999;1999;3;0.7;0.3;30;50;250;0;0.368941118;LT
Onbekend slachthuis 681;4367;5.02871;52.4494;1999;1999;3;0.7;0.3;30;50;250;0;0.368941118;LT
Onbekend slachthuis 683;4369;5.02351;52.3202;1999;1999;3;0.7;0.3;30;50;250;0;0.0724340767;LT
Onbekend slachthuis 702;4388;5.04706;52.2574;1999;1999;3;0.7;0.3;30;50;250;0;0.22578274;LT
Onbekend slachthuis 703;4389;5.11294;52.2401;1999;1999;3;0.7;0.3;30;50;250;0;0.155338766;LT
Onbekend slachthuis 717;4403;4.83713;52.4353;1999;1999;3;0.7;0.3;30;50;250;0;0.528901658;LT
Onbekend slachthuis 718;4404;4.84251;52.4509;1999;1999;3;0.7;0.3;30;50;250;0;0.376074447;LT
